RoadType,SpeedLimit,NodeID,x,y
footway,No data,319522969,24.938832,60.1662521
residential,30,241378309,24.9237567,60.1622614
residential,30,203256779,24.9302275,60.1631887
residential,30,3213972677,24.9308338,60.1627994
residential,30,3206007865,24.930173,60.1633523
service,No data,3206001760,24.9299718,60.1632853
steps,No data,7687786221,24.9357755,60.1680656
secondary,30,289567401,24.9324118,60.1710613
service,No data,229088419,24.9323639,60.1709976
residential,30,8935925944,24.9256558,60.1618979
footway,No data,1377247107,24.9263396,60.1643214
residential,30,237415398,24.9225253,60.1637741
residential,30,2427185285,24.9227389,60.1639421
residential,30,9216228416,24.9225326,60.163549
cycleway,No data,529507785,24.9223536,60.163768
cycleway,No data,337733969,24.9235916,60.1622133
residential,30,241378812,24.9237893,60.1623456
steps,No data,241530019,24.9249994,60.1618101
steps,No data,299973291,24.9246697,60.1617042
footway,No data,1007925119,24.9257361,60.1618425
residential,30,6837885709,24.9266249,60.1633582
footway,No data,246378207,24.9284619,60.1667821
footway,No data,303089517,24.9284273,60.1667237
residential,30,7699019916,24.9285403,60.1667714
footway,No data,246378209,24.9298535,60.1664035
footway,No data,1861896916,24.9298005,60.1664382
tertiary,30,724233128,24.9300219,60.1664345
steps,No data,7608086640,24.930299,60.1635752
footway,No data,7699579629,24.9324379,60.1645259
steps,No data,298372984,24.9337166,60.1665969
cycleway,No data,258188403,24.9226688,60.1620253
footway,No data,292859329,24.939351,60.1652294
footway,No data,316411348,24.9407709,60.1663405
footway,No data,248185585,24.9403219,60.1666012
steps,No data,316421385,24.9404061,60.1667562
footway,No data,5299885142,24.9394854,60.1662706
corridor,No data,249350774,24.9330726,60.1694715
corridor,No data,256272636,24.9331511,60.1694973
steps,No data,3044084670,24.9325458,60.1692995
corridor,No data,2918415049,24.9341287,60.1698706
corridor,No data,249350785,24.9333646,60.1695862
footway,No data,255385012,24.9272827,60.1615507
residential,30,266159806,24.9273636,60.161492
residential,30,3204456588,24.9270884,60.1616931
footway,No data,292859610,24.9289907,60.1620587
footway,No data,256257126,24.9381052,60.1690527
footway,No data,10862248789,24.9385614,60.1692596
footway,No data,256257232,24.9380772,60.1689441
steps,No data,256258038,24.9385082,60.1692413
footway,No data,256257159,24.938305,60.168706
footway,No data,10860224075,24.9381734,60.1687963
footway,No data,256257206,24.9388771,60.16877
